Period,Year,Quarter,Region,Category,Channel,Revenue,COGS,OpEx,Net Profit,Budget,Variance
Jan 2025,2025,Q1,"Middle East & Africa","Accessories","Retail Stores",16645,8851,4053,3741,17210,-565
Jan 2025,2025,Q1,"Middle East & Africa","Hardware","Online / E-Commerce",41633,28367,9690,3576,39251,2382
Jan 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Online / E-Commerce",57281,17012,11373,28896,53324,3957
Jan 2025,2025,Q1,"Middle East & Africa","Cloud Services","Online / E-Commerce",74742,24021,14507,36214,76969,-2227
Jan 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Online / E-Commerce",28043,19222,6483,2338,28672,-629
Jan 2025,2025,Q1,"Middle East & Africa","Accessories","Online / E-Commerce",15111,7781,3452,3878,15123,-12
Jan 2025,2025,Q1,"Middle East & Africa","Hardware","Partner Network",39279,25972,8653,4654,40596,-1317
Jan 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Partner Network",53411,14976,12422,26013,53016,395
Jan 2025,2025,Q1,"Middle East & Africa","Cloud Services","Partner Network",70368,25808,15286,29274,64989,5379
Jan 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Partner Network",33388,23916,6388,3084,32037,1351
Jan 2025,2025,Q1,"Middle East & Africa","Accessories","Partner Network",17119,7905,3506,5708,16067,1052
Feb 2025,2025,Q1,"North America","Hardware","Enterprise Direct",55770,35122,10984,9664,57752,-1982
Feb 2025,2025,Q1,"North America","Enterprise Software","Enterprise Direct",82889,20661,19340,42888,81372,1517
Feb 2025,2025,Q1,"North America","Cloud Services","Enterprise Direct",108795,40011,23188,45596,106405,2390
Feb 2025,2025,Q1,"North America","Consumer Electronics","Enterprise Direct",58636,41681,12417,4538,62510,-3874
Feb 2025,2025,Q1,"North America","Accessories","Enterprise Direct",29338,14347,7181,7810,31217,-1879
Feb 2025,2025,Q1,"North America","Hardware","Retail Stores",62418,42634,15231,4553,63625,-1207
Feb 2025,2025,Q1,"North America","Enterprise Software","Retail Stores",100805,31453,22908,46444,97453,3352
Feb 2025,2025,Q1,"North America","Cloud Services","Retail Stores",137731,49538,28583,59610,134378,3353
Feb 2025,2025,Q1,"North America","Consumer Electronics","Retail Stores",56967,40069,12013,4885,59263,-2296
Feb 2025,2025,Q1,"North America","Accessories","Retail Stores",28486,13896,6698,7892,29657,-1171
Feb 2025,2025,Q1,"North America","Hardware","Online / E-Commerce",62129,41636,14626,5867,58210,3919
Feb 2025,2025,Q1,"North America","Enterprise Software","Online / E-Commerce",96473,28996,18942,48535,101218,-4745
Feb 2025,2025,Q1,"North America","Cloud Services","Online / E-Commerce",132447,42179,31581,58687,127634,4813
Feb 2025,2025,Q1,"North America","Consumer Electronics","Online / E-Commerce",48471,36091,10003,2377,45369,3102
Feb 2025,2025,Q1,"North America","Accessories","Online / E-Commerce",33182,15988,6504,10690,35153,-1971
Feb 2025,2025,Q1,"North America","Hardware","Partner Network",60664,37491,14697,8476,57600,3064
Feb 2025,2025,Q1,"North America","Enterprise Software","Partner Network",78931,24445,15870,38616,83528,-4597
Feb 2025,2025,Q1,"North America","Cloud Services","Partner Network",136663,44381,33051,59231,126290,10373
Feb 2025,2025,Q1,"North America","Consumer Electronics","Partner Network",49767,37281,9532,2954,45922,3845
Feb 2025,2025,Q1,"North America","Accessories","Partner Network",33697,15570,6437,11690,31644,2053
Feb 2025,2025,Q1,"Europe","Hardware","Enterprise Direct",43870,26821,8649,8400,42051,1819
Feb 2025,2025,Q1,"Europe","Enterprise Software","Enterprise Direct",60266,15039,12322,32905,62275,-2009
Feb 2025,2025,Q1,"Europe","Cloud Services","Enterprise Direct",85581,28180,19898,37503,90087,-4506
Feb 2025,2025,Q1,"Europe","Consumer Electronics","Enterprise Direct",39836,29346,9550,940,40039,-203
Feb 2025,2025,Q1,"Europe","Accessories","Enterprise Direct",25362,13349,5628,6385,26714,-1352
Feb 2025,2025,Q1,"Europe","Hardware","Retail Stores",56199,36673,13488,6038,55245,954
Feb 2025,2025,Q1,"Europe","Enterprise Software","Retail Stores",71147,21818,15199,34130,76565,-5418
Feb 2025,2025,Q1,"Europe","Cloud Services","Retail Stores",106277,36295,26416,43566,113218,-6941
Feb 2025,2025,Q1,"Europe","Consumer Electronics","Retail Stores",41819,31702,10224,-107,40010,1809
Feb 2025,2025,Q1,"Europe","Accessories","Retail Stores",27278,14530,5559,7189,29369,-2091
Feb 2025,2025,Q1,"Europe","Hardware","Online / E-Commerce",57414,36077,14281,7056,54871,2543
Feb 2025,2025,Q1,"Europe","Enterprise Software","Online / E-Commerce",64757,20614,13171,30972,69755,-4998
Feb 2025,2025,Q1,"Europe","Cloud Services","Online / E-Commerce",110502,36228,27509,46765,104339,6163
Feb 2025,2025,Q1,"Europe","Consumer Electronics","Online / E-Commerce",39606,30045,7885,1676,39442,164
Feb 2025,2025,Q1,"Europe","Accessories","Online / E-Commerce",27324,12900,5969,8455,28820,-1496
Feb 2025,2025,Q1,"Europe","Hardware","Partner Network",45801,29676,11017,5108,45827,-26
Feb 2025,2025,Q1,"Europe","Enterprise Software","Partner Network",69927,21494,15399,33034,74121,-4194
Feb 2025,2025,Q1,"Europe","Cloud Services","Partner Network",106537,37318,25834,43385,107345,-808
Feb 2025,2025,Q1,"Europe","Consumer Electronics","Partner Network",43239,32429,9635,1175,46588,-3349
Feb 2025,2025,Q1,"Europe","Accessories","Partner Network",26554,13378,6613,6563,27985,-1431
Feb 2025,2025,Q1,"Asia-Pacific","Hardware","Enterprise Direct",37729,25985,9063,2681,39902,-2173
Feb 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Enterprise Direct",58697,18016,14181,26500,58866,-169
Feb 2025,2025,Q1,"Asia-Pacific","Cloud Services","Enterprise Direct",77365,29306,17104,30955,80638,-3273
Feb 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Enterprise Direct",34806,25110,8210,1486,33258,1548
Feb 2025,2025,Q1,"Asia-Pacific","Accessories","Enterprise Direct",17453,9096,3548,4809,18461,-1008
Feb 2025,2025,Q1,"Asia-Pacific","Hardware","Retail Stores",40151,25205,9703,5243,43211,-3060
Feb 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Retail Stores",46978,14511,11678,20789,44038,2940
Feb 2025,2025,Q1,"Asia-Pacific","Cloud Services","Retail Stores",77878,30225,15305,32348,71932,5946
Feb 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Retail Stores",35902,24726,6870,4306,37577,-1675
Feb 2025,2025,Q1,"Asia-Pacific","Accessories","Retail Stores",15323,7077,3639,4607,15408,-85
Feb 2025,2025,Q1,"Asia-Pacific","Hardware","Online / E-Commerce",31874,21462,7079,3333,32255,-381
Feb 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Online / E-Commerce",55738,15762,12512,27464,60141,-4403
Feb 2025,2025,Q1,"Asia-Pacific","Cloud Services","Online / E-Commerce",71000,25274,17723,28003,73487,-2487
Feb 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Online / E-Commerce",32117,24393,7488,236,34116,-1999
Feb 2025,2025,Q1,"Asia-Pacific","Accessories","Online / E-Commerce",19931,10315,4850,4766,19403,528
Feb 2025,2025,Q1,"Asia-Pacific","Hardware","Partner Network",39643,27002,8327,4314,39239,404
Feb 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Partner Network",57235,15267,12373,29595,57301,-66
Feb 2025,2025,Q1,"Asia-Pacific","Cloud Services","Partner Network",66775,23031,14719,29025,62741,4034
Feb 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Partner Network",30813,22203,6081,2529,28751,2062
Feb 2025,2025,Q1,"Asia-Pacific","Accessories","Partner Network",17397,8173,3391,5833,16479,918
Feb 2025,2025,Q1,"Latin America","Hardware","Enterprise Direct",32986,20337,6604,6045,35364,-2378
Feb 2025,2025,Q1,"Latin America","Enterprise Software","Enterprise Direct",44822,11368,11073,22381,46239,-1417
Feb 2025,2025,Q1,"Latin America","Cloud Services","Enterprise Direct",63316,24443,14680,24193,67454,-4138
Feb 2025,2025,Q1,"Latin America","Consumer Electronics","Enterprise Direct",35660,26239,8719,702,33180,2480
Feb 2025,2025,Q1,"Latin America","Accessories","Enterprise Direct",18389,9795,3566,5028,19102,-713
Feb 2025,2025,Q1,"Latin America","Hardware","Retail Stores",41759,25692,9794,6273,39086,2673
Feb 2025,2025,Q1,"Latin America","Enterprise Software","Retail Stores",44571,13344,8736,22491,42498,2073
Feb 2025,2025,Q1,"Latin America","Cloud Services","Retail Stores",75374,23968,15267,36139,70371,5003
Feb 2025,2025,Q1,"Latin America","Consumer Electronics","Retail Stores",27643,19260,5393,2990,28988,-1345
Feb 2025,2025,Q1,"Latin America","Accessories","Retail Stores",15846,7397,3775,4674,16694,-848
Feb 2025,2025,Q1,"Latin America","Hardware","Online / E-Commerce",32570,21963,7819,2788,34138,-1568
Feb 2025,2025,Q1,"Latin America","Enterprise Software","Online / E-Commerce",55929,17156,13314,25459,51965,3964
Feb 2025,2025,Q1,"Latin America","Cloud Services","Online / E-Commerce",77314,28921,14954,33439,74820,2494
Feb 2025,2025,Q1,"Latin America","Consumer Electronics","Online / E-Commerce",34249,23446,7121,3682,35514,-1265
Feb 2025,2025,Q1,"Latin America","Accessories","Online / E-Commerce",15053,7284,3520,4249,14848,205
Feb 2025,2025,Q1,"Latin America","Hardware","Partner Network",34950,23363,7511,4076,35646,-696
Feb 2025,2025,Q1,"Latin America","Enterprise Software","Partner Network",54802,14972,12466,27364,54269,533
Feb 2025,2025,Q1,"Latin America","Cloud Services","Partner Network",68475,24648,14815,29012,68125,350
Feb 2025,2025,Q1,"Latin America","Consumer Electronics","Partner Network",32586,23303,7106,2177,33545,-959
Feb 2025,2025,Q1,"Latin America","Accessories","Partner Network",17043,8478,3937,4628,15737,1306
Feb 2025,2025,Q1,"Middle East & Africa","Hardware","Enterprise Direct",36843,24490,7047,5306,35384,1459
Feb 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Enterprise Direct",54080,13070,11094,29916,55439,-1359
Feb 2025,2025,Q1,"Middle East & Africa","Cloud Services","Enterprise Direct",60170,19868,13804,26498,58553,1617
Feb 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Enterprise Direct",29081,21304,6105,1672,28512,569
Feb 2025,2025,Q1,"Middle East & Africa","Accessories","Enterprise Direct",18178,8845,3866,5467,18712,-534
Feb 2025,2025,Q1,"Middle East & Africa","Hardware","Retail Stores",35326,22616,8161,4549,33242,2084
Feb 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Retail Stores",49372,14549,9770,25053,47267,2105
Feb 2025,2025,Q1,"Middle East & Africa","Cloud Services","Retail Stores",74134,23760,15124,35250,71993,2141
Feb 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Retail Stores",27939,19520,5844,2575,29988,-2049
Feb 2025,2025,Q1,"Middle East & Africa","Accessories","Retail Stores",15972,7755,3953,4264,15432,540
Feb 2025,2025,Q1,"Middle East & Africa","Hardware","Online / E-Commerce",35186,24161,7295,3730,34818,368
Feb 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Online / E-Commerce",58301,15339,12598,30364,53985,4316
Feb 2025,2025,Q1,"Middle East & Africa","Cloud Services","Online / E-Commerce",65811,22690,12652,30469,63097,2714
Feb 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Online / E-Commerce",30798,21035,6299,3464,29859,939
Feb 2025,2025,Q1,"Middle East & Africa","Accessories","Online / E-Commerce",14951,7167,3118,4666,14108,843
Feb 2025,2025,Q1,"Middle East & Africa","Hardware","Partner Network",34323,21787,6825,5711,36249,-1926
Feb 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Partner Network",48323,12168,11648,24507,47411,912
Feb 2025,2025,Q1,"Middle East & Africa","Cloud Services","Partner Network",62838,23757,13379,25702,62652,186
Feb 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Partner Network",34719,24670,7600,2449,34861,-142
Feb 2025,2025,Q1,"Middle East & Africa","Accessories","Partner Network",16745,8348,3710,4687,17565,-820
Mar 2025,2025,Q1,"North America","Hardware","Enterprise Direct",64738,42212,15432,7094,65563,-825
Mar 2025,2025,Q1,"North America","Enterprise Software","Enterprise Direct",90382,27521,20316,42545,84129,6253
Mar 2025,2025,Q1,"North America","Cloud Services","Enterprise Direct",134260,47846,26054,60360,126289,7971
Mar 2025,2025,Q1,"North America","Consumer Electronics","Enterprise Direct",56286,38579,11130,6577,60575,-4289
Mar 2025,2025,Q1,"North America","Accessories","Enterprise Direct",26439,12435,6572,7432,25032,1407
Mar 2025,2025,Q1,"North America","Hardware","Retail Stores",57853,39809,11573,6471,61850,-3997
Mar 2025,2025,Q1,"North America","Enterprise Software","Retail Stores",102510,25975,25208,51327,100181,2329
Mar 2025,2025,Q1,"North America","Cloud Services","Retail Stores",110697,42568,23410,44719,117626,-6929
Mar 2025,2025,Q1,"North America","Consumer Electronics","Retail Stores",62094,44002,15118,2974,60242,1852
Mar 2025,2025,Q1,"North America","Accessories","Retail Stores",29086,15453,6074,7559,29208,-122
Mar 2025,2025,Q1,"North America","Hardware","Online / E-Commerce",72740,46196,16117,10427,74342,-1602
Mar 2025,2025,Q1,"North America","Enterprise Software","Online / E-Commerce",84679,23888,19329,41462,90065,-5386
Mar 2025,2025,Q1,"North America","Cloud Services","Online / E-Commerce",123935,44742,30222,48971,117351,6584
Mar 2025,2025,Q1,"North America","Consumer Electronics","Online / E-Commerce",57243,43035,11453,2755,55958,1285
Mar 2025,2025,Q1,"North America","Accessories","Online / E-Commerce",34003,16098,7194,10711,31734,2269
Mar 2025,2025,Q1,"North America","Hardware","Partner Network",58615,37442,11428,9745,57422,1193
Mar 2025,2025,Q1,"North America","Enterprise Software","Partner Network",85918,21190,18246,46482,80292,5626
Mar 2025,2025,Q1,"North America","Cloud Services","Partner Network",107580,36559,21026,49995,103423,4157
Mar 2025,2025,Q1,"North America","Consumer Electronics","Partner Network",52876,36339,10867,5670,56118,-3242
Mar 2025,2025,Q1,"North America","Accessories","Partner Network",26650,12810,6476,7364,27882,-1232
Mar 2025,2025,Q1,"Europe","Hardware","Enterprise Direct",47444,32293,11260,3891,49521,-2077
Mar 2025,2025,Q1,"Europe","Enterprise Software","Enterprise Direct",78574,23817,18576,36181,81691,-3117
Mar 2025,2025,Q1,"Europe","Cloud Services","Enterprise Direct",104993,39045,24660,41288,108476,-3483
Mar 2025,2025,Q1,"Europe","Consumer Electronics","Enterprise Direct",46738,34578,10864,1296,47563,-825
Mar 2025,2025,Q1,"Europe","Accessories","Enterprise Direct",25645,13248,5812,6585,26743,-1098
Mar 2025,2025,Q1,"Europe","Hardware","Retail Stores",54332,35795,12825,5712,58019,-3687
Mar 2025,2025,Q1,"Europe","Enterprise Software","Retail Stores",72806,21944,17870,32992,73405,-599
Mar 2025,2025,Q1,"Europe","Cloud Services","Retail Stores",104372,40071,23284,41017,102373,1999
Mar 2025,2025,Q1,"Europe","Consumer Electronics","Retail Stores",48689,35256,10362,3071,52376,-3687
Mar 2025,2025,Q1,"Europe","Accessories","Retail Stores",24238,11887,6021,6330,25663,-1425
Mar 2025,2025,Q1,"Europe","Hardware","Online / E-Commerce",49313,33921,11936,3456,50187,-874
Mar 2025,2025,Q1,"Europe","Enterprise Software","Online / E-Commerce",80480,24901,18240,37339,78628,1852
Mar 2025,2025,Q1,"Europe","Cloud Services","Online / E-Commerce",107269,38494,22674,46101,98707,8562
Mar 2025,2025,Q1,"Europe","Consumer Electronics","Online / E-Commerce",44628,31619,8482,4527,43637,991
Mar 2025,2025,Q1,"Europe","Accessories","Online / E-Commerce",22840,10509,4835,7496,22455,385
Mar 2025,2025,Q1,"Europe","Hardware","Partner Network",43495,27789,9294,6412,46815,-3320
Mar 2025,2025,Q1,"Europe","Enterprise Software","Partner Network",67538,18342,16791,32405,64507,3031
Mar 2025,2025,Q1,"Europe","Cloud Services","Partner Network",93565,36318,19010,38237,99393,-5828
Mar 2025,2025,Q1,"Europe","Consumer Electronics","Partner Network",49374,34441,12016,2917,53192,-3818
Mar 2025,2025,Q1,"Europe","Accessories","Partner Network",21862,11612,5444,4806,23418,-1556
Mar 2025,2025,Q1,"Asia-Pacific","Hardware","Enterprise Direct",41545,28611,10249,2685,43515,-1970
Mar 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Enterprise Direct",58685,18520,13954,26211,59326,-641
Mar 2025,2025,Q1,"Asia-Pacific","Cloud Services","Enterprise Direct",79642,29763,17848,32031,81692,-2050
Mar 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Enterprise Direct",34207,24816,7856,1535,36194,-1987
Mar 2025,2025,Q1,"Asia-Pacific","Accessories","Enterprise Direct",17716,9086,4283,4347,17575,141
Mar 2025,2025,Q1,"Asia-Pacific","Hardware","Retail Stores",38995,26479,8463,4053,41782,-2787
Mar 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Retail Stores",56835,15688,14027,27120,52875,3960
Mar 2025,2025,Q1,"Asia-Pacific","Cloud Services","Retail Stores",69220,26700,13420,29100,70851,-1631
Mar 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Retail Stores",35622,24407,8152,3063,35685,-63
Mar 2025,2025,Q1,"Asia-Pacific","Accessories","Retail Stores",15092,7724,3330,4038,15527,-435
Mar 2025,2025,Q1,"Asia-Pacific","Hardware","Online / E-Commerce",38844,25283,8965,4596,37704,1140
Mar 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Online / E-Commerce",51423,15139,10747,25537,52180,-757
Mar 2025,2025,Q1,"Asia-Pacific","Cloud Services","Online / E-Commerce",74061,24835,16702,32524,79973,-5912
Mar 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Online / E-Commerce",29685,21592,7419,674,27498,2187
Mar 2025,2025,Q1,"Asia-Pacific","Accessories","Online / E-Commerce",17839,9632,3432,4775,16773,1066
Mar 2025,2025,Q1,"Asia-Pacific","Hardware","Partner Network",42768,26224,8451,8093,45712,-2944
Mar 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Partner Network",44174,11049,10859,22266,46793,-2619
